open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1502991000000,308.33,308.33,306.02,306.02,63.26284,1502991299999,19393.8950018,13,60.24814,18464.3725508,0
1502991300000,303.98,303.98,303.98,303.98,3.05308,1502991599999,928.0752584,14,3.05308,928.0752584,0
1502991600000,303.98,308.02,303.98,308.02,15.26214,1502991899999,4641.8928644,19,14.61879,4446.3273314,0
1502991900000,308.02,308.22,308.02,308.22,21.1834,1502992199999,6528.621698,16,21.10403,6504.1741506,0
1502992200000,308.22,308.22,308.22,308.22,27.08958,1502992499999,8349.5503476,20,26.87893,8284.6238046,0
1502992500000,308.22,308.33,308.22,308.33,3.48244,1502992799999,1073.4123642,14,3.3271,1025.5334694,0
1502992800000,308.33,308.33,308.33,308.33,13.29677,1502993099999,4099.7930941,16,5.35077,1649.8029141,0
1502993100000,310.19,310.19,308.33,310.19,36.69885,1502993399999,11383.4580141,16,36.61376,11357.2222144,0
1502993400000,310.19,310.19,298.96,308.58,9.67061,1502993699999,2963.3777579,14,6.64285,2058.1983903,0
1502993700000,308.58,308.58,308.58,308.58,12.88971,1502993999999,3977.5067118,18,11.26976,3477.6225408,0
1502994000000,308.58,310.64,308.58,310.64,10.95026,1502994299999,3397.9712828,17,10.54583,3273.1722734,0
1502994300000,310.64,310.64,310.64,310.64,5.77049,1502994599999,1792.5450136,14,5.49483,1706.9139912,0
1502994600000,311.53,311.53,301.97,301.97,62.84116,1502994899999,19219.1587934,14,62.84116,19219.1587934,0
1502994900000,301.97,309.1,301.97,309.1,10.67062,1502995199999,3257.0432319,22,9.78818,2990.5728251,0
1502995200000,309.1,309.1,309.1,309.1,13.92425,1502995499999,4303.985675,14,13.92425,4303.985675,0
1502995500000,309.1,309.1,309.1,309.1,13.6772,1502995799999,4227.62252,17,13.6772,4227.62252,0
1502995800000,309.1,309.1,309.1,309.1,6.91482,1502996099999,2137.370862,8,5.846,1806.9986,0
1502996100000,309.1,309.1,309.1,309.1,6.35006,1502996399999,1962.803546,13,6.35006,1962.803546,0
1502996400000,309.1,309.1,309.1,309.1,50.08992,1502996699999,15482.794272,17,50.08992,15482.794272,0
1502996700000,309.1,309.1,309.0,309.0,2.20336,1502996999999,680.881856,11,2.20336,680.881856,0
1502997000000,309.0,309.84,302.22,302.22,55.74297,1502997299999,16983.86152,18,55.22049,16822.4152,0
1502997300000,302.22,305.68,302.22,305.68,10.18609,1502997599999,3089.087128,16,9.88072,2996.7982066,0
1502997600000,305.68,305.68,305.68,305.68,6.13856,1502997899999,1876.4350208,15,6.13856,1876.4350208,0
1502997900000,305.68,308.71,305.68,308.71,4.43313,1502998199999,1358.4176061,15,3.00474,921.7873509,0
1502998200000,308.71,309.05,308.71,309.05,6.27713,1502998499999,1939.5634079,16,6.01686,1859.2154562,0
1502998500000,309.05,309.05,309.05,309.05,8.78319,1502998799999,2714.4448695,14,5.19658,1606.003049,0
1502998800000,309.05,309.41,309.05,309.41,5.05011,1502999099999,1562.4567087,10,4.93375,1526.4956507,0
1502999100000,309.41,309.41,309.41,309.41,4.56547,1502999399999,1412.6020727,13,4.56547,1412.6020727,0
1502999400000,309.41,309.41,309.41,309.41,4.97053,1502999699999,1537.9316873,12,4.97053,1537.9316873,0
1502999700000,309.41,309.41,301.6,301.6,57.19733,1502999999999,17417.5819346,17,57.19733,17417.5819346,0
1503000000000,301.6,303.76,301.6,303.76,32.14814,1503000299999,9720.7984982,26,21.02146,6356.2546549,0
1503000300000,309.4,309.4,302.0,302.0,36.65603,1503000599999,11303.16943,31,31.86232,9849.91304,0
1503000600000,309.0,309.0,308.0,308.0,25.33486,1503000899999,7805.52133,28,19.18507,5911.38601,0
1503000900000,308.0,308.0,302.0,302.0,5.55592,1503001199999,1708.30736,10,5.06992,1561.53536,0
1503001200000,302.0,308.0,302.0,307.0,14.68454,1503001499999,4490.99983,17,11.17054,3429.77183,0
1503001500000,302.0,307.0,301.88,301.88,62.83875,1503001799999,19020.075788,12,59.07875,17884.555788,0
1503001800000,301.88,301.88,301.42,301.42,29.17205,1503002099999,8804.2209282,22,27.19246,8206.7399858,0
1503002100000,301.42,302.0,299.01,302.0,15.42327,1503002399999,4647.9596687,24,14.38382,4336.6005328,0
1503002400000,302.0,302.0,302.0,302.0,3.97743,1503002699999,1201.18386,19,3.97743,1201.18386,0
1503002700000,302.0,302.75,302.0,302.75,4.69473,1503002999999,1420.3719675,16,4.69473,1420.3719675,0
1503003000000,302.75,304.79,302.75,304.79,15.76042,1503003299999,4781.5891619,24,14.23076,4316.4195559,0
1503003300000,304.79,304.79,304.79,304.79,26.17637,1503003599999,7978.2958123,12,26.17637,7978.2958123,0
1503003600000,304.79,305.77,304.79,305.77,3.60373,1503003899999,1099.3647475,23,2.34751,716.4814537,0
1503003900000,305.77,305.77,304.25,304.56,62.11249,1503004199999,18913.0730814,15,62.11249,18913.0730814,0
1503004200000,304.56,304.56,304.56,304.56,7.36382,1503004499999,2242.7250192,12,7.36382,2242.7250192,0
1503004500000,304.56,305.77,304.56,305.77,2.89771,1503004799999,884.4247451,15,2.49869,762.8992139,0
1503004800000,305.77,306.64,305.44,305.53,23.64784,1503005099999,7231.4356366,33,20.25479,6193.0646225,0
1503005100000,306.64,307.02,306.64,307.02,14.93192,1503005399999,4579.8180676,19,14.93192,4579.8180676,0
1503005400000,307.02,307.02,307.02,307.02,13.08825,1503005699999,4018.354515,17,13.08825,4018.354515,0
1503005700000,307.02,308.54,307.02,308.54,69.15619,1503005999999,21273.9016415,30,49.90099,15359.0655685,0
1503006000000,308.54,308.54,308.54,308.54,7.72426,1503006299999,2383.2431804,17,7.04657,2174.1487078,0
1503006300000,308.54,309.3,308.54,309.3,5.64769,1503006599999,1746.3591878,23,4.80902,1487.4297948,0
1503006600000,309.3,309.4,304.04,304.04,80.06242,1503006899999,24664.7566554,31,74.53384,22954.4933534,0
1503006900000,304.04,307.44,304.04,307.44,40.30894,1503007199999,12381.589371,20,17.61275,5405.9117246,0
1503007200000,308.57,309.84,308.57,309.84,29.19791,1503007499999,9020.2132787,26,26.99556,8340.6341392,0
1503007500000,309.84,309.84,309.84,309.84,14.11284,1503007799999,4372.7223456,18,14.11284,4372.7223456,0
1503007800000,309.84,310.14,309.84,309.84,6.13806,1503008099999,1902.4633914,16,5.3916,1671.180225,0
1503008100000,309.84,309.84,309.84,309.84,2.91468,1503008399999,903.0844512,16,2.71214,840.3294576,0
1503008400000,309.84,310.14,309.84,310.14,5.97626,1503008699999,1853.1635934,14,5.64465,1750.331751,0
1503008700000,310.26,310.26,303.44,305.62,125.65431,1503008999999,38536.6411212,31,98.72389,30339.7182238,0
